producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,type
Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,Merlot,,,,Red
Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Merlot,Carmenere,Cabernet Franc,Syrah & Shiraz,Petit Verdot,Red
Baron du Val,France,,,,,Carignan,Cinsault,Syrah & Shiraz,Grenache Noir,,,Red
Baron du Val,France,,,,,Carignan,Ugni​ blanc,Grenache Blanc,Picpoul,,,White
Benziger,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Calvet,France,Bourgogne,Beaujolais,,,Gamay,,,,,,Red
Calvet,France,Bordeaux,,,,Merlot,,,,,,Red
Calvet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,Red
Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Muscadet,,,,White
Calvet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,Red
Calvet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,Red
Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Etc,,,,White
Calvet,France,Bordeaux,Premieres Cotes de Bordeaux,,,Semillon,Sauvignon blanc,Muscadet,,,,White
Calvet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,Red
Calvet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Calvet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,,,,,Red
Caviro scaForli,Italy,EmiliaRomagna,,,,Lambrusco,,,,,,Rose
Caviro scaForli,Italy,EmiliaRomagna,,,,Etc,,,,,,White
Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Chateau Brillette,France,Bordeaux,Moulis,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,Red
Chateau Camensac Grand Cru Classe5th Cru,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau Chasse Spleen,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Chateau Lynch Bages Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau HautBrion 1st Grand Cru Classe,France,Bordeaux,PessacLeognan,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Chateau La Gurgue,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau Mouton Rothschild 1st Grand Cru Classe,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Tour de Loudenne,France,Bordeaux,Medoc,,,,,,,,,
Chateau Tour de Saint Bonnet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,Red
Concha y Toro,Chile,Rapel Valley,Cachapoal Valley,Peumo,,Carmenere,Cabernet Sauvignon,Cabernet Franc,,,,Red
Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,Merlot,,,,,Red
Concha y Toro,Chile,Central Valley,,,,Carmenere,Cabernet Sauvignon,,,,,Red
Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
Concha y Toro,Chile,Central Valley,,,,Carmenere,,,,,,Red
Concha y Toro,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,,,,Red
Concha y Toro,Chile,Rapel Valley,,,,Carmenere,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Concord,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Merlot,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Fortified
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Sparkling
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Zinfandel,,,,,,Rose
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Cabernet Sauvignon,,,,,,Red
Frei Brothers,USA,California,Sonoma County,Alexander Valley,,Cabernet Sauvignon,Petite Sirah,Merlot,,,,Red
Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Chardonnay,,,,,,White
Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Pinot Noir,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Merlot,Cabernet Sauvignon,Etc,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Pinot Noir,Zinfandel,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Zinfandel,Syrah & Shiraz,Petite Sirah,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,White
Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,White
